Process,Month,FTE Cap,Mandays
Amazon Merchant,Aug,2,24
Amazon Merchant,Dec,2,26
Amazon Merchant,Nov,2,25
Amazon Merchant,Oct,2,26
Amazon Merchant,Sep,2,26
Amazon Merchant,Jan,2,26
Arka_Fincap,Aug,7,23
Arka_Fincap,Dec,7,26
Arka_Fincap,Nov,7,25
Arka_Fincap,Oct,7,24
Arka_Fincap,Sep,7,26
Arka_Fincap,Jan,7,25
Bajaj_Allianz-L1,Aug,60,25
Bajaj_Allianz-L1,Dec,60,26
Bajaj_Allianz-L1,Nov,60,26
Bajaj_Allianz-L1,Oct,60,24
Bajaj_Allianz-L1,Sep,60,26
Bajaj_Allianz-L1,Jan,60,26
Bajaj_Allianz-L2,Aug,12,25
Bajaj_Allianz-L2,Dec,12,26
Bajaj_Allianz-L2,Nov,12,26
Bajaj_Allianz-L2,Oct,12,24
Bajaj_Allianz-L2,Sep,12,26
Bajaj_Allianz-L2,Jan,12,26
Bajaj_Allianz-Noida,Aug,72,25
Bajaj_Allianz-Noida,Dec,72,26
Bajaj_Allianz-Noida,Nov,72,26
Bajaj_Allianz-Noida,Oct,72,24
Bajaj_Allianz-Noida,Sep,72,26
Bajaj_Allianz-Noida,Jan,72,26
Bajaj_Capital,Aug,30,24
Bajaj_Capital,Dec,30,25
Bajaj_Capital,Nov,30,25
Bajaj_Capital,Oct,30,23
Bajaj_Capital,Sep,30,25
Bajaj_Capital,Jan,30,25
Balmer_Lawrie,Dec,5,24
Balmer_Lawrie,Nov,5,25
Balmer_Lawrie,Oct,5,24
Balmer_Lawrie,Sep,5,25
Balmer_Lawrie,Jan,5,24
BharatPe,Aug,36,24
BharatPe,Dec,36,25
BharatPe,Nov,36,25
BharatPe,Oct,36,23
BharatPe,Sep,36,25
BharatPe,Jan,36,26
BSES-Noida,Aug,25,31
BSES-Noida,Dec,25,31
BSES-Noida,Nov,25,30
BSES-Noida,Oct,25,31
BSES-Noida,Sep,25,30
BSES-Noida,Jan,25,30
CESC,Aug,12,31
CESC,Dec,12,31
CESC,Nov,12,30
CESC,Oct,12,31
CESC,Sep,12,30
CESC,Jan,12,31
CESC_Jaipur,Aug,37,31
CESC_Jaipur,Dec,37,31
CESC_Jaipur,Nov,37,30
CESC_Jaipur,Oct,37,31
CESC_Jaipur,Sep,37,30
CESC_Jaipur,Jan,37,26
DATIK,Aug,4,26
DATIK,Dec,4,26
DATIK,Nov,4,26
DATIK,Oct,4,26
DATIK,Sep,4,26
DATIK,Jan,4,26
DIC,Aug,23,31
DIC,Dec,23,31
DIC,Nov,23,30
DIC,Oct,23,31
DIC,Sep,23,30
DIC,Jan,23,31
Dish_IB-Chennai,Aug,5,25
Dish_IB-Chennai,Dec,5,25
Dish_IB-Chennai,Nov,5,25
Dish_IB-Chennai,Oct,5,25
Dish_IB-Chennai,Sep,5,25
Dish_IB-Chennai,Jan,5,25
DISH_IB-HYD,Aug,18,25
DISH_IB-HYD,Dec,18,25
DISH_IB-HYD,Nov,18,25
DISH_IB-HYD,Oct,18,25
DISH_IB-HYD,Sep,18,25
DISH_IB-HYD,Jan,18,25
Dish_TV-Backend,Aug,18,25
Dish_TV-Backend,Dec,18,25
Dish_TV-Backend,Nov,18,25
Dish_TV-Backend,Oct,18,25
Dish_TV-Backend,Sep,18,25
Dish_TV-Backend,Jan,18,25
DMI,Aug,10,25
DMI,Dec,10,25
DMI,Nov,10,25
DMI,Oct,10,24
DMI,Sep,10,25
DMI,Jan,10,25
E Saras,Aug,2,26
E Saras,Dec,2,26
E Saras,Nov,2,26
E Saras,Oct,2,26
E Saras,Sep,2,26
E Saras,Jan,2,26
EDCIL,Aug,9,25
EDCIL,Dec,9,26
EDCIL,Nov,9,25
EDCIL,Oct,9,25
EDCIL,Sep,9,25
EDCIL,Jan,9,26
Edelweiss,Aug,39,25
Edelweiss,Dec,39,27
Edelweiss,Nov,39,26
Edelweiss,Oct,39,25
Edelweiss,Sep,39,26
Edelweiss,Jan,39,25
GO_NOISE,Aug,55,24
GO_NOISE,Dec,55,25
GO_NOISE,Nov,55,25
GO_NOISE,Oct,55,24
GO_NOISE,Sep,55,25
GO_NOISE,Jan,55,24
GOQII,Aug,6,24
GOQII,Dec,6,27
GOQII,Nov,6,25
GOQII,Oct,6,25
GOQII,Sep,6,26
GOQII,Jan,6,22
GS-1,Aug,10,24
GS-1,Dec,10,25
GS-1,Nov,10,25
GS-1,Oct,10,23
GS-1,Sep,10,25
GS-1,Jan,10,25
HDFC_Persistency,Aug,30,23
HDFC_Persistency,Dec,30,26
HDFC_Persistency,Nov,30,25
HDFC_Persistency,Oct,30,25
HDFC_Persistency,Sep,30,26
HDFC_Persistency,Jan,30,25
ICAI,Aug,71,24
ICAI,Dec,71,26
ICAI,Nov,71,25
ICAI,Oct,71,25
ICAI,Sep,71,25
ICAI,Jan,71,25
ICAI-HYD,Aug,11,24
ICAI-HYD,Dec,11,26
ICAI-HYD,Nov,11,25
ICAI-HYD,Oct,11,25
ICAI-HYD,Sep,11,25
ICAI-HYD,Jan,11,25
IDFC_CROSS_SALE,Aug,100,23
IDFC_CROSS_SALE,Dec,200,26
IDFC_CROSS_SALE,Nov,100,25
IDFC_CROSS_SALE,Oct,100,25
IDFC_CROSS_SALE,Sep,100,26
IDFC_CROSS_SALE,Jan,200,25
IDFC_DIGI_SALE,Aug,15,23
IDFC_DIGI_SALE,Dec,15,26
IDFC_DIGI_SALE,Nov,15,25
IDFC_DIGI_SALE,Oct,15,25
IDFC_DIGI_SALE,Sep,15,26
IDFC_DIGI_SALE,Jan,15,25
IDFC-NOIDA,Aug,10,24
IDFC-NOIDA,Dec,10,26
IDFC-NOIDA,Nov,10,25
IDFC-NOIDA,Oct,10,25
IDFC-NOIDA,Sep,10,26
IDFC-NOIDA,Jan,10,25
Imagine,Aug,26,25
Imagine,Dec,26,26
Imagine,Nov,26,26
Imagine,Oct,26,26
Imagine,Sep,26,26
Imagine,Jan,26,23
IRDAI,Aug,20,25
